time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1700866800000,37713.2814422266,37748.987900424145,37614.05907289128,37748.644831217876,236903207.50289738,,,,
1700870400000,37737.26669933305,37796.17633845674,37702.341754583445,37748.083009656664,184066070.43463397,0.0006357875059939332,0.0012492776909083726,0.002344316009643497,-1.4883335405107552e-05
1700874000000,37747.76322217539,37834.69233112363,37741.73171190679,37813.73358602414,145365944.93784416,0.00027810873019210497,0.0010185258129153032,0.0010442161747810444,0.0017376658170617405
1700877600000,37809.417312308105,37842.22427689466,37727.176234172795,37839.00044636113,150210058.65093896,0.0016319852959198148,0.00019905530334718956,-0.00038573442522500835,0.0006679695479519216
1700881200000,37835.27606356116,37866.45548854767,37790.51931270477,37826.319495044685,182579573.3547543,0.0006836897898926856,0.0006401171584414401,0.0016775695531617148,-0.0003351852987602357
1700884800000,37826.0045306369,37844.557738940995,37768.357181084306,37805.076411404014,112174714.33546749,-0.0002450799906599059,-0.0005784561395706061,-0.0005866188933558652,-0.000561753064179364
1700888400000,37795.727043392224,37839.685116569504,37734.68989470063,37832.52210234866,137029897.68830207,-0.0008007615861827187,-0.0001287618715437361,-0.000891812712704673,0.0007257155882391189
1700892000000,37840.08915345064,37893.64861488622,37798.525200242744,37814.194664689094,98347324.84268282,0.0011730451888017778,0.0014250926188165327,0.001690258270083024,-0.0004845534294528647
1700895600000,37830.45450731986,37861.89468056287,37740.3497706646,37818.647313027555,135635704.18024153,-0.00025464720396434595,-0.0008383264062724238,-0.0015402781972092626,0.0001177437797437339
1700899200000,37823.06903531982,37861.5161181497,37762.35339612446,37782.13265826439,108316090.40302934,-0.00019524462781527944,-9.998556831534446e-06,0.0005828566437993951,-0.0009659862667141608
1700902800000,37783.54549243329,37813.4967066688,37716.324093208284,37755.14906637108,135799678.5891495,-0.001045504992747097,-0.0012690957327510177,-0.001219663887955769,-0.0007144443756779021
1700906400000,37753.02397651231,37753.90876036712,37672.447841197376,37746.282738058966,171460619.3409941,-0.000808125595234341,-0.0015770809725149724,-0.00116399977978313,-0.00023486517118870517
1700910000000,37707.17139404946,37737.39386219999,37601.01503026785,37673.85974370734,195811999.76523253,-0.0012152788070849897,-0.00043753115542746605,-0.0018979552593360524,-0.0019205218719806603
1700913600000,37673.838921166665,37752.61298915674,37667.608126727806,37739.5875125972,109326918.94681019,-0.0008843732636614037,0.00040320905501861935,0.0017694787294463218,0.0017431317072493825
1700917200000,37741.02961138044,37771.93452609748,37659.738511313626,37738.91119643273,119577817.46510436,0.0017818955147595118,0.0005116624461302656,-0.00020894444830572476,-1.792076355670503e-05
1700920800000,37756.69508371475,37809.62432978302,37680.22860496671,37745.54713815681,109221541.47536935,0.0004149919119389748,0.0009973281149562602,0.000543936902086931,0.00017582272927652004
1700924400000,37701.62621897102,37760.86820753622,37642.09856121059,37718.476399233165,142033762.15477473,-0.0014595838754304477,-0.0012903483191572312,-0.0010124500516059144,-0.0007174475681491858
1700928000000,37730.94803607761,37817.88229675742,37718.643447022994,37775.361994975014,127482500.76663834,0.0007774312058949137,0.0015087335965670017,0.0020314267109301037,0.0015070264731015081
1700931600000,37765.88819124395,37860.44420122755,37750.78088634185,37792.616509656924,136036585.2166894,0.0009256058771973833,0.0011248110503263482,0.0008516678521207682,0.0004566620762709313
1700935200000,37793.570398557764,37851.511739208596,37774.72708339337,37843.82819440682,122122168.78556225,0.0007327264929892263,-0.00023595908861266454,0.0006341221263560351,0.0013541538811344851
1700938800000,37842.66854414594,37878.64494495572,37795.032937747565,37839.93593883368,105877654.19181916,0.0012982705954387053,0.0007165760139996467,0.0005374068896663565,-0.00010285576097192388
1700942400000,37842.32162557685,37903.88397755608,37784.05419217534,37809.76904082487,197509992.68492275,-9.167433815255325e-06,0.0006660910870190078,-0.00029052337270419373,-0.0007975417647948598
1700946000000,37805.143220065605,37851.25833125785,37786.93672310266,37811.62118375208,99013325.57223013,-0.0009829386505017515,-0.0013893619141811117,7.628670456239826e-05,4.898463046200876e-05
1700949600000,37818.911223779316,37836.47501047785,37722.63596032966,37741.77506577834,114662529.73631813,0.000364117051567275,-0.00039063981216737076,-0.0017031159369730999,-0.0018489211958262973
1700953200000,37743.97610960456,37830.541127882694,37743.65967905493,37798.17861092602,87425334.77871509,-0.001983384737780386,-0.0001568419877022667,0.0005571684442976192,0.001493343664760271
1700956800000,37801.45091885917,37812.58504740208,37751.99444870918,37760.04201570801,101896743.88227035,0.0015215962793359073,-0.0004747577665226586,0.00022080131060277745,-0.0010094625876631341
1700960400000,37761.79112068284,37771.68638962027,37707.007078368195,37707.007078368195,127717400.24883504,-0.0010497114932500103,-0.0010822003307248411,-0.0011923660467428234,-0.001405512649750633
1700964000000,37706.07480042599,37768.82533610008,37690.494433418586,37759.610586777744,97653585.33183002,-0.0014765577295621614,-7.574885200527564e-05,-0.0004380157135853084,0.0013940870428945818
1700967600000,37754.47835475491,37771.329605648316,37735.381205241894,37750.53892247091,68183143.4386466,0.0012828838099793946,6.630300271652695e-05,0.0011902222345376908,-0.0002402766888806223
1700971200000,37753.64687459091,37781.239841461655,37711.417713806,37754.284703814854,92660727.75204957,-2.2023594454482162e-05,0.0002623401412473474,-0.000635242119879636,9.92196568940277e-05
1700974800000,37776.537925182056,37816.45795476683,37756.92161568158,37794.58447675469,83159713.3224616,0.0006061431294706507,0.0009317245598636964,0.0012059072133887106,0.0010668532090364385
1700978400000,37791.93174896605,37806.03268744315,37739.11966686391,37805.26583715461,116769463.50503275,0.0004074139403194347,-0.00027571869958774607,-0.0004715995393980122,0.00028257623332972684
1700982000000,37799.88149192573,37821.049761389615,37767.922513970494,37801.816416578724,86727458.41476285,0.00021033343818996431,0.000397134826773143,0.0007629182039642314,-9.124596467577374e-05
1700985600000,37805.94903471652,37833.28057447224,37757.44028016212,37779.543196896055,110566736.40801273,0.00016050462673449357,0.0003233341207274605,-0.0002775818212023242,-0.0005893839550210665
1700989200000,37782.57608022434,37842.335713737746,37741.496277582264,37785.814434038315,80575527.78480837,-0.0006184260164239303,0.00023931458382135865,-0.00042236363964358634,0.00016598180312433724
1700992800000,37780.241717312354,37796.09023437742,37690.61089156217,37724.79830152743,117329170.23720561,-6.178602071140073e-05,-0.0012228040058481673,-0.0013491706820469044,-0.0016160945747990354
1700996400000,37717.664875131915,37770.40562580251,37688.53566668041,37688.53566668041,146709666.14434987,-0.001657711036899853,-0.0006797882916665636,-5.5060981108059844e-05,-0.0009617036068760614
1701000000000,37700.73228174113,37700.73228174113,37517.6373658203,37643.96446978123,536365413.7368387,-0.00044903085490050185,-0.0018463578471542845,-0.004544802324886341,-0.001183319338116161
1701003600000,37644.89917436589,37644.89917436589,37422.05751021129,37524.85360286201,381238943.8665542,-0.0014820532130643035,-0.0014820532130643035,-0.002550848588159508,-0.003169158958854805
1701007200000,37528.926552820754,37535.99844418261,37353.925966874835,37360.26844339669,434588586.38631135,-0.0030854546094603633,-0.0028970339487308034,-0.0018222846165883697,-0.00439567753853264
1701010800000,37362.142941108534,37527.04185613213,37314.689843910615,37449.28908811229,335476286.56456155,-0.00445403940861727,-0.00023864176183525373,-0.0010509402417455812,0.00237992817151122
1701014400000,37448.34396264002,37517.19249322259,37183.18958785159,37241.11888231483,609303760.7252986,0.002304518076245532,-0.00026249486190347464,-0.0035303123696177933,-0.005574229689635239
1701018000000,37237.865527037095,37335.025615815386,37167.297381187425,37287.355100030916,257255605.00957954,-0.0056363549377082475,-0.004867383803940332,-0.00042749435959473897,0.0012407666809001088
1701021600000,37287.93624899313,37335.861603905745,37180.638882940926,37253.92463504159,225915817.94920042,0.0013437152850864062,2.239127246301085e-05,0.00035889367121934524,-0.0008969652077211831
1701025200000,37247.034386958214,37416.21441696475,37241.86242693749,37392.648268057594,148133468.20199957,-0.001097521493377901,0.0021498491623108892,0.0016452969661060978,0.003716816119566876
1701028800000,37390.5753426227,37640.7789153405,37358.44187215157,37595.16142420568,358311511.884572,0.0038463485942633723,0.005983857292402084,0.00312544409058251,0.005401241863504792
1701032400000,37595.88463964465,37650.054914970555,37482.73786619642,37629.256700165184,222644984.14611593,0.005475916854809208,0.00024640448790596734,0.0033215967134466377,0.0009064949691707428
1701036000000,37625.305918826656,37754.267044728964,37625.305918826656,37683.52026606007,237892979.48704293,0.0007822604365574697,0.0027640907948010196,0.0037963503420691755,0.0014410191064723255
1701039600000,37667.952099394395,37667.952099394395,37335.08840355825,37461.2197724645,415619055.3617379,0.0011328022256086201,-0.0022888476100663014,-0.007743261437312574,-0.005916612180023932
1701043200000,37465.576885414564,37559.90618627533,37396.00260892427,37498.55709218311,221156857.05917162,-0.005387094314296892,-0.002872499360585462,0.0016302242622543788,0.000996196209971342
1701046800000,37501.63988039363,37573.89405344388,37487.31331759471,37505.174285035784,194934685.4145015,0.0009621004838286861,0.0003723455298555835,0.002438747611439319,0.0001764496978574081
1701050400000,37503.312965919285,37507.59205441311,37254.76741653473,37314.33272806567,304468011.0227223,4.461266789576983e-05,-0.0017661348942881673,-0.0062226432325261614,-0.0051013961054861045
1701054000000,37316.65914411274,37352.779708721384,37235.24526510856,37318.03868051536,286336251.7522037,-0.004989422042296738,-0.004136035201018146,-0.0005241548811800292,9.931219878966812e-05
1701057600000,37317.933721802816,37423.65721419105,37272.42926516427,37402.81290992733,193003388.1067854,3.4155145523196724e-05,0.001895718213186743,0.0009981254515643596,0.0022690926021638703
1701061200000,37391.251808776586,37408.606279678934,37315.537461997505,37316.58172442283,158142356.90731734,0.0019627602681194065,-0.00040225790353920265,0.0011559023130552754,-0.002308134968422533
1701064800000,37315.94737604845,37423.81249444465,37289.34236542042,37289.34236542042,199415333.974712,-0.0020159893304599018,0.0004064071487763069,-0.0007022355029363543,-0.0007302197659260068
1701068400000,37282.80136111538,37348.43106407385,37103.12483996381,37296.010560868934,449157800.7438367,-0.0008886480718630093,-0.0020162951470105626,-0.005006364794538639,0.0001788071036646767
1701072000000,37295.818709357976,37393.6509391909,37266.50018749275,37343.427672583275,231260725.35752624,0.0003490906204081422,0.0012100246453532288,0.004393611243368563,0.001270564709904613
1701075600000,37343.10184530672,37457.97930708825,37343.10184530672,37379.8510440424,273289594.28019404,0.0012669835502031673,0.0017188238525494214,0.0020534001694822615,0.0009748869420464515
1701079200000,37376.1722704433,37376.1722704433,37051.901054608985,37076.50295777274,559196771.3209103,0.0008851913428586445,-0.0021863565633592264,-0.007828544030071891,-0.008148391598454862
1701082800000,37094.691723155185,37148.67233183024,36989.272865280036,37048.177762724976,568831925.7295327,-0.007559517176418092,-0.006105363828862677,-0.0016917128929633861,-0.0007642581701843165
1701086400000,37047.74630124334,37104.74481070279,36922.69809176886,36979.85516132589,417143642.93970984,-0.0012663578224959417,-0.0011831785779685621,-0.0018014616753828667,-0.0018458580648279565
